price,time
28084.78000000,1679471852225
28084.78000000,1679471852526
28084.78000000,1679471852839
28084.78000000,1679471853152
28084.78000000,1679471853461
28084.78000000,1679471853776
28084.78000000,1679471854098
28083.01000000,1679471854408
28083.01000000,1679471854713
28083.01000000,1679471855029
28083.00000000,1679471855333
28083.00000000,1679471855641
28082.93000000,1679471855944
28082.68000000,1679471856241
28083.27000000,1679471856555
28083.37000000,1679471856862
28083.66000000,1679471857175
28084.03000000,1679471857482
28084.22000000,1679471857784
28084.40000000,1679471858077
28084.79000000,1679471858394
28085.32000000,1679471858701
28085.81000000,1679471859020
28085.87000000,1679471859320
28087.30000000,1679471859636
28087.34000000,1679471859940
28087.69000000,1679471860248
28087.70000000,1679471860562
28087.88000000,1679471860860
28087.93000000,1679471861169
28088.02000000,1679471861468
28088.02000000,1679471861772
28088.01000000,1679471862079
28087.99000000,1679471862387
28087.99000000,1679471862689
28087.99000000,1679471862994
28087.62000000,1679471863302
28087.01000000,1679471863624
28086.02000000,1679471863914
28086.78000000,1679471864222
28086.97000000,1679471864529
28086.99000000,1679471864839
28089.87000000,1679471865150
28089.76000000,1679471865450
28089.19000000,1679471865760
28089.63000000,1679471866078
28089.64000000,1679471866394
28089.99000000,1679471866708
28089.99000000,1679471867009
28089.99000000,1679471867308
28089.99000000,1679471867607
28089.84000000,1679471867919
28089.59000000,1679471868235
28089.21000000,1679471868543
28086.81000000,1679471868840
28086.81000000,1679471869142
28086.81000000,1679471869451
28086.81000000,1679471869758
28085.88000000,1679471870067
28085.88000000,1679471870376
28085.87000000,1679471870676
28085.80000000,1679471870989
28084.78000000,1679471871291
28084.16000000,1679471871599
28084.00000000,1679471871911
28082.98000000,1679471872211
28082.78000000,1679471872525
28082.58000000,1679471872822
28082.57000000,1679471873154
28082.28000000,1679471873466
28081.82000000,1679471873783
28081.74000000,1679471874091
28081.69000000,1679471874396
28080.98000000,1679471874706
28078.42000000,1679471875002
28076.69000000,1679471875308
28076.56000000,1679471875627
28076.56000000,1679471875943
28075.83000000,1679471876246
28075.78000000,1679471876559
28075.78000000,1679471876867
28075.77000000,1679471877167
28075.78000000,1679471877475
28075.78000000,1679471877783
28075.77000000,1679471878086
28075.77000000,1679471878390
28081.17000000,1679471878696
28081.16000000,1679471878994
28081.17000000,1679471879587
28081.16000000,1679471879882
28080.85000000,1679471880181
28080.78000000,1679471880498
28075.29000000,1679471880792
28074.79000000,1679471881394
28075.91000000,1679471882007
28075.91000000,1679471882307
28076.29000000,1679471882611
28076.52000000,1679471882919
28076.52000000,1679471883226
28076.67000000,1679471883535
28077.01000000,1679471883825
28078.72000000,1679471884139
28079.37000000,1679471884746
28080.83000000,1679471885053
28081.33000000,1679471885660
28081.39000000,1679471885956
28081.39000000,1679471886261
28083.01000000,1679471886572
28083.01000000,1679471886898
28083.01000000,1679471887210
28084.70000000,1679471887524
28084.75000000,1679471887828
28084.98000000,1679471888148
28085.29000000,1679471888471
28085.66000000,1679471888785
28086.96000000,1679471889081
28086.96000000,1679471889411
28086.98000000,1679471889721
28087.16000000,1679471890033
28087.35000000,1679471890346
28087.17000000,1679471890664
28087.17000000,1679471890990
28087.17000000,1679471891302
28087.16000000,1679471891614
28087.16000000,1679471891926
28087.16000000,1679471892232
28087.15000000,1679471892540
28086.43000000,1679471893010
28086.25000000,1679471893325
28086.26000000,1679471893640
28086.96000000,1679471893947
28086.96000000,1679471894254
28086.98000000,1679471894546
28087.08000000,1679471894854
28087.16000000,1679471895156
